,content,domain
57,"Four months ago, Nesar Uddin (65) had a homestead, arable land and an orchard. But now there exists nothing. Nesar along with his seven-member family has taken shelter on the land of others. The family is now passing their days amid hardship and starvation.Farmer Nesar Uddin of Gatiyashyam village in Rajarhat upazila of Kurigram district now stares at the place which used to be his homestead and cultivable land and what he now sees in the place is the devouring Teesta.Farmers Jabedul Isram, Akhirul Issam, Abedul Islam and Alamgir Hossain were seen in a sombre mood like Nesar Uddin in the same area of the Teesta shoal. They all were staring at a bleak future losing all their belongings to a forever hungry river.Nesar Uddin said that he has lost his homestead and 10 bighas of arable land to the Teesta river and he had to witness the devastation helplessly. Even a few months ago, he used to hire labourers to work on his land and now he runs to other people's doors in search of work.""The river Teesta has taken away everything of mine. It has shattered my dreams,"" he said.Farmer Jabedul Islam said in an emotion choked voice said that he had a happy family even five months ago. All their smiles and joys have been washed away by the furious river.Jabedul has lost 12 bighas of cultivable land and his homestead to the Teesta riverbed.Now his family has taken shelter on a relative's land. 'I can't sleep peacefully at night. I could never have imagined that I would lose everything to a hungry Teesta,' he said.According to the District Relief and Rehabilitation Office, around 10,000 families have lost their homes due to the erosion of Brahmaputra, Teesta, Dharla, Dudhkumar and Gangadhar rivers at 90 points in 14 upazilas of Kurigram and Lalmonirhat in the last five months. A vast tract of cultivable land and many establishments have gone into the rivers.Abdul Malek, 56, a farmer from Gatiyashyam village, said that the erosion of the Teesta river did not stop even in winter. Every day cultivable land is going to the stomach of the river.""My homestead is under threat and it can be washed away at any moment. My seven bighas of cultivable land have already gone into Teesta riverbed over the last few months,"" he said.Mizanur Rahman, executive engineer of Water Development Board (WDB) in Lalmonirhat, said that the erosion of the Teesta river is being seen in some places even in winter. However, as there is not much water in the river, the erosion will not be that severe.Preventive measures will be taken soon in the places affected by erosion so that it does not take a serious turn during monsoon, said the WDB official.",environment
58,"Crops, especially winter vegetables, on vast areas have been damaged due to the untimely rain that lashed different districts across the country in the last three days.Many growers, who were taking preparation to harvest their vegetables, are now in fear of incurring losses.The damaged crops include Aman paddy, Boro, different winter vegetables, fruits, spices and pulses, said the affected farmers and officials at Department of Agricultural Extension (DAE).""Light rain is likely to occur at one or two places in Dhaka, Barishal, Sylhet, and Chattogram divisions. The weather may remain mainly dry with partly cloudy sky elsewhere across the country,"" according to a government weather bulletin yesterday.Our Khulna correspondent reported that around 70 percent of Aman paddy, cultivated on about 93,170 hectares of land have gone under water.DAE said of the 70 percent crops on vast areas have already been damaged.Moreover, different vegetables on nearly 12 hectares of land in the district have been badly affected by the rain water.""I cultivated Aman on 13 bighas of land, but about 20 percent of the paddy have been completely damaged,"" farmer Prabir Roy of Khalishibunia village in Batiaghata upazila said.""Due to the stagnant water caused by the untimely rain cultivation of the next crop will also be hampered,"" Khulna DAE Deputy Director Hafizur Rahman said.In Patuakhali, standing crops on around 3,000 hectares of land have been damaged due to the rain in the last few days, reports our correspondent. Patuakhali DAE Deputy Director AKM Mohiuddin said further damages can be avert, if water recedes quickly otherwise the extent of loss will keeping increasing.Our Faridpur correspondent reports, crops and vegetables on vast areas have been damaged due to the untimely rain.""I cultivated grass pea on 53 decimals of land, spending Tk 45,000. The untimely rain has damaged most of my crops,"" said farmer Sheikh Sorman of BS Dangi village in Charbhadrasan upazila.Faridpur DAE Deputy Director (DD) Hazrat Ali said they will distribute seeds and fertilizers among the affected farmers at free of cost.In Pirojpur, Aman paddy on around 61,630 hectares of land have been damaged by the rain, according to the officials at DAE.""Almost all the paddy fields in our area have gone under knee-deep water. We fear that around half of the paddy have been already damaged,"" farmer Abdur Rahman of Chalisa village in Sadar upazila said.Pirojpur DAE DD Dr Mohammad Nazrul Islam Sikder said the rain has not only damaged paddies, it also causing fodder crisis.Away in Manikganj, crops on around 20 hectares of land have been badly affected by the rain.While visiting Dighi, Natun Basati, Koyra and Chhutibhatbaur village in Sadar upazila yesterday this correspondent saw farmers were trying to remove water from their croplands using different methods.Besides, standing crops on nearly 60,000 hectares of land have been damaged in different upazilas of six districts under Barishal division, said Toufiqul Alam, DD at Barishal DAE.",environment
59,"""My crop was supposed to ripen within the next two to three weeks … I fear that over half my crop will be damaged."" Abul Hossain a farmer in Patuakhali The untimely rain that lashed different areas of the country for the last two days could result in extensive damage to crops, especially winter vegetables and seedbeds. For all latest news, follow The Daily Star's Google News channel.  Farmers who were expecting to harvest their vegetables and preparing seedbeds are in fear of losses. Officials and experts said this untimely rain will have an impact on winter vegetables but if the rain continues and water remains on cropland for much longer, then damage to crops will be severe. Department of Agricultural Extension (DAE) officials said they have been collecting information on the damage to crops and it will take some time to get a full picture. Officials said currently the crops being cultivated are Aman paddy, potato, onion, lentil, various vegetables, maize and wheat. Depression formed over the Bay of Bengal has triggered incessant rains for the last two days across the country. Jashore witnessed the maximum rainfall, 163mm, in the 24 hours since 6:00pm on Sunday, said a bulletin of Bangladesh Meteorological Department (BMD). The forecast is for light to moderate rain and likely thundershowers in many places in Dhaka, Chattogram, Sylhet, Khulna and Barishal divisions. ""Weather may remain mainly dry elsewhere over the country,"" said the BMD 24-hour forecast bulletin released at 6:00pm yesterday. Dr Hamidur Rahman, former director general of DAE, said this untimely rain can have both positive and negative impacts on crops. ""If there is stagnant water due to the rain, crops will be damaged, especially winter vegetables including tomato, potato and eggplant,"" he said, adding that the rain however is a blessing for maize cultivation. But if the rain continues for a few more days, the damage to crops will be huge, he said. Md Asadullah, director general of DAE, said the soil is very dry right now and the rain will not have any adverse impacts on the crops, but they will be damaged if the rain persists for a few more days. Our correspondents from different districts yesterday reported on crop damage. In Patuakhali, vast areas of cropland have gone under water due to heavy rain and high tide in the last five days. The crops include Aman paddy, Khesari pulse, fruits and winter vegetable. Farmers fear that half of the submerged Aman crop will be damaged, while local agriculture officers said only five percent of the paddy will be damaged.          Water from the Sakhbaria river rushes in following breach in an embankment in the district’s Bedkashi area. Photo: Sajjad Hossain/Habibur Rahman/Star  ""I cultivated Aman on around two acres of land. My crop was supposed to ripen within the next two to three weeks, but now all the paddy has been submerged. I fear that over half my crop will be damaged,"" said Abul Hossain, a farmer of Patuakhali Sadar upazila's Sharikkhali village. Watermelon plants on around 400 bighas of land have gone under water. All of these will be damaged, said Mohammad Saifullah, an agriculture officer in Kalapara upazila. Contacted, KM Mohiuddin, DAE deputy director, said, ""Around five percent of submerged Aman paddy will be damaged. But most of the Khesari pulse, watermelon and winter vegetables will be damaged."" In Barguna, an almost similar situation prevailed as large portions of cropland got inundated. ""This year, I had good production of Aman paddy. I expected to make some profit. But all of my paddy has gone under water,"" said Abul Hasan, a farmer of Badarkhali village in Barguna Sadar upazila. In Munshiganj, potato seeds of around 4,000 hectares of land are feared to have been damaged due to incessant rains, said the local agriculture office. The damage will increase if rain continues, said Md Khurshid Alam, deputy director of DAE. ""I planted potato seeds on around 15 acres of land around two weeks ago. All of my land has gone under water,"" said Kamrul Hasan Russell, a farmer of Hamidpur village in Sadar upazila. In six districts of Barishal division, Boro seedlings were planted on around 3,000 hectares of land, said Md Toufiqul Alom, deputy director of DAE in Barishal. Around three percent of these would be affected due to the rain water, he said. In Jhenaidah, Ropa Aman paddy of around 2,300 hectares of land lie submerged. A very small portion of these crops would be damaged if rain stops immediately, but the damage will be worse if rain continues, said Azgar Ali, deputy director of DAE. In Bagerhat, fishermen and traders who earn their livelihood drying fish, have to incur huge losses due to rains. Some 15,000 people of Alorchol, Majher Char, Narkel Baria and Shalar Char areas of Sundarbans depend on fish drying. Fish worth around Tk 2 crore have already been damaged, said Mohammad Belayet Hossain, divisional forest officer of the Sundarbans East Forest Department. The losses may increase if rains continue, he added. In Noakhali, communication through waterways from the mainland to Hatiya island remained suspended due to rough weather.          A farmer tries to salvage rain-hit Aman paddy in Khulna’s Alaipur village. Photo: Sajjad Hossain/Habibur Rahman/Star As a result, some tourists were stranded on the island, said Md Selim Hossain Khan, Hatiya Upazila Nirbahi Officer (UNO). Besides, operation of passenger vessels, which operate on the Dhaka-Chattogram-Bhola route, remained suspended. In Khulna, over 200 families of Gatirgheri and Hariharpur villages of Koyra upazila have been marooned by the tidal surge after breaching of an embankment. In Shariatpur, vast areas of cropland cultivating paddy, onion, pulse, spices and winter fruits have been submerged, posing the risk of substantial damages, said local DAE officers. ""My crop was supposed to ripen within the next two to three weeks … I fear that over half my crop will be damaged."" The untimely rain that lashed different areas of the country for the last two days could result in extensive damage to crops, especially winter vegetables and seedbeds.Farmers who were expecting to harvest their vegetables and preparing seedbeds are in fear of losses.Officials and experts said this untimely rain will have an impact on winter vegetables but if the rain continues and water remains on cropland for much longer, then damage to crops will be severe.Department of Agricultural Extension (DAE) officials said they have been collecting information on the damage to crops and it will take some time to get a full picture.Officials said currently the crops being cultivated are Aman paddy, potato, onion, lentil, various vegetables, maize and wheat.Depression formed over the Bay of Bengal has triggered incessant rains for the last two days across the country.Jashore witnessed the maximum rainfall, 163mm, in the 24 hours since 6:00pm on Sunday, said a bulletin of Bangladesh Meteorological Department (BMD).The forecast is for light to moderate rain and likely thundershowers in many places in Dhaka, Chattogram, Sylhet, Khulna and Barishal divisions.""Weather may remain mainly dry elsewhere over the country,"" said the BMD 24-hour forecast bulletin released at 6:00pm yesterday.Dr Hamidur Rahman, former director general of DAE, said this untimely rain can have both positive and negative impacts on crops.""If there is stagnant water due to the rain, crops will be damaged, especially winter vegetables including tomato, potato and eggplant,"" he said, adding that the rain however is a blessing for maize cultivation.But if the rain continues for a few more days, the damage to crops will be huge, he said.Md Asadullah, director general of DAE, said the soil is very dry right now and the rain will not have any adverse impacts on the crops, but they will be damaged if the rain persists for a few more days.Our correspondents from different districts yesterday reported on crop damage.In Patuakhali, vast areas of cropland have gone under water due to heavy rain and high tide in the last five days. The crops include Aman paddy, Khesari pulse, fruits and winter vegetable.Farmers fear that half of the submerged Aman crop will be damaged, while local agriculture officers said only five percent of the paddy will be damaged.""I cultivated Aman on around two acres of land. My crop was supposed to ripen within the next two to three weeks, but now all the paddy has been submerged. I fear that over half my crop will be damaged,"" said Abul Hossain, a farmer of Patuakhali Sadar upazila's Sharikkhali village.Watermelon plants on around 400 bighas of land have gone under water. All of these will be damaged, said Mohammad Saifullah, an agriculture officer in Kalapara upazila.Contacted, KM Mohiuddin, DAE deputy director, said, ""Around five percent of submerged Aman paddy will be damaged. But most of the Khesari pulse, watermelon and winter vegetables will be damaged.""In Barguna, an almost similar situation prevailed as large portions of cropland got inundated.""This year, I had good production of Aman paddy. I expected to make some profit. But all of my paddy has gone under water,"" said Abul Hasan, a farmer of Badarkhali village in Barguna Sadar upazila.In Munshiganj, potato seeds of around 4,000 hectares of land are feared to have been damaged due to incessant rains, said the local agriculture office.The damage will increase if rain continues, said Md Khurshid Alam, deputy director of DAE.""I planted potato seeds on around 15 acres of land around two weeks ago. All of my land has gone under water,"" said Kamrul Hasan Russell, a farmer of Hamidpur village in Sadar upazila.In six districts of Barishal division, Boro seedlings were planted on around 3,000 hectares of land, said Md Toufiqul Alom, deputy director of DAE in Barishal. Around three percent of these would be affected due to the rain water, he said.In Jhenaidah, Ropa Aman paddy of around 2,300 hectares of land lie submerged.A very small portion of these crops would be damaged if rain stops immediately, but the damage will be worse if rain continues, said Azgar Ali, deputy director of DAE.In Bagerhat, fishermen and traders who earn their livelihood drying fish, have to incur huge losses due to rains.Some 15,000 people of Alorchol, Majher Char, Narkel Baria and Shalar Char areas of Sundarbans depend on fish drying.Fish worth around Tk 2 crore have already been damaged, said Mohammad Belayet Hossain, divisional forest officer of the Sundarbans East Forest Department. The losses may increase if rains continue, he added.In Noakhali, communication through waterways from the mainland to Hatiya island remained suspended due to rough weather.As a result, some tourists were stranded on the island, said Md Selim Hossain Khan, Hatiya Upazila Nirbahi Officer (UNO).Besides, operation of passenger vessels, which operate on the Dhaka-Chattogram-Bhola route, remained suspended.In Khulna, over 200 families of Gatirgheri and Hariharpur villages of Koyra upazila have been marooned by the tidal surge after breaching of an embankment.In Shariatpur, vast areas of cropland cultivating paddy, onion, pulse, spices and winter fruits have been submerged, posing the risk of substantial damages, said local DAE officers.",environment
60,"The unexpected tide of the Sakbaria river, due to depression in the Bay, has inundated two villages in Khulna's Koyra upazila. As a result, around 200 families in the villages of Gatirgheri and Hariharpur are waterlogged.Locals have complained that due to the negligence of the contractor, the embankment at Hariharpur village in Uttar Bedkashi union has been breached and water has entered the locality, reports our local correspondent.Uttar Bedkashi Union council Chairman, Sardar Nurul Islam, told The Daily Star, ""The dam broke due to negligence of the contractor. The Water Development Board had signed a deal with a contractor to build a new dam at the site, but the contractor failed to construct it in time.""The tidal waters in the Sakbaria river rose due to cyclone Jawad on Saturday (December 4) night, breaking the dam and flooding two villages, said Gautam Das, a local resident.Mashiul Abedin, deputy assistant engineer of Satkhira Water Development Board-2, said that due to inclement weather, the water level in the Sakbaria River has risen by four to five feet in the last three to four days. As a result of the water pressure, the embankment on the east side of Hariharpur launch ghat has been broken. Contractors have been hired, and they are currently trying to repair the dam.",environment
61,"More than 1,000 tourists remain stranded in St Martin's island due to rough weather caused by Cyclone Jawad in the Bay of Bengal.The authorities have suspended movement of passenger vessels between Teknaf and St Martin's for two days, beginning from today.Pervez Chowdhury, Teknaf Upazila Nirbahi Officer (UNO) confirmed the development.Due to bad weather, local administration suspended the movement of all types of vessels by hoisting cautionary signal 3.The suspension will continue till the weather improves, the UNO said.St Martin's union parishad chairman Nur Ahmed, said the tourists got stranded due to the suspension of the trawler movement. ""They have to wait until further notice"".",environment
62,"An endangered vulture was rescued from a paddy field in the Kabirajpara area of ​​Sonakata union in Barguna's Taltali upazila yesterday.The vulture was unable to fly due to weakness. It was later rescued by the forest department with the help of villagers, reports our Patuakhali correspondent quoting Monirul Islam, a forest department official.The vulture was very weak when it was rescued said Mahmudul Hasan, a local resident. ""It couldn't stand up straight"".""It (the vulture) came to the area in search of food,"" said Monirul.""Further measures would be taken following its recovery from illness and consultation with higher authorities,"" he added.Environmentalists have long regarded vultures as a ""cleaner"" of the environment, said the forest official.Vultures help to keep the environment in balance by eating the flesh of dead animals. People are protected from at least 40 diseases by this bird.Vultures have decreased in number, while the rate of germ transmission has increased.",environment
63,"Citing the constitution that makes it mandatory to protect forest, environment and wildlife, Environment Minister Md Shahab Uddin today said they were not able to conserve wildlife.He came up with the comment at a time when eight elephants were killed last month across Chattogram and Sherpur, mostly by electrocution and shooting by forest grabbers.The minister was addressing a programme titled -- National Result Sharing and Consultation Workshop -- as chief guest, organised by International Union for Conservation of Nature (IUCN) at Bangabadhu International Conference Centre in Dhaka.The conference was organised as part of IUCN project ""Feasibility Study of Transboundary Wildlife Corridor in CHT, Chattogram and Cox's Bazar with Myanmar and India Project"".Forest Minister Shahab Uddin said according to the constitution's section-18 (kha), the state will conserve its environment, forest and wildlife for present and future generation of the country.""The wildlife is supposed to be in forest. But when forest goes under the clutch of human being, how the wildlife will survive there,"" he said.He urged other agencies of government to join hand to protect the forest as forest department alone won't be able to do it.Habibun Nahar, deputy minister of the ministry, said, ""there is a law in place. But we all know how much of the law is executed on the ground.Md Mostafa Kamal, secretary of the ministry, vowed not to let the giant mammal disappear from Bangladesh territory. ""We request IUCN to give us specific data on elephant corridors. We will acquire land for safe movement of elephants if necessary,"" he said.Monirul H Khan, professor of Zoology at Jahangirnagar University, presented the keynote on the transboundary corridors of elephant while Raquibul Amin presented the overview of the project.",environment
64,"On a November afternoon several weeks back, a middle-aged man, appearing to be a fish vendor, was spotted in Kaminiganj Bazar area of Moulvibazar's Juri upazila.But after peeking through the net covering of the bamboo basket he was carrying, over a dozen of live migratory birds were found inside, said Saddam Mia, a resident of the area, which is in close proximity to Hakaluki Haor -- one of the country's largest marsh wetlands and an Ecologically Critical Area.Hakaluki Haor is spread out across Juri, Kulaura and Barlekha upazilas of Moulvibazar, and Golapganj and Fenchuganj upazilas of Sylhet.Poaching and illegal trade of migratory birds have been on the rise in areas that surround large waterbodies such as Hakaluki Haor, as both poachers and sellers are increasingly adopting innovative and deceptive techniques to catch and sell the birds.This correspondent came across one such illegal bird seller recently in Kaminiganj Bazar, near the BGB camp. In his basket, there were 12 brownish migratory birds with long and sharp beaks, resembling common snipes. Asked, he said he bought them from hunters who caught the birds by setting traps near the haor. He said he had already sold 13 that day. The seller left the spot hastily when this correspondent started taking snaps of the birds.Several poachers as well as locals, requesting anonymity, said migratory birds are quite popular among villagers, and each bird sells between Tk 300 and 500, depending on size.Bird trader Sadek Mia said a huge number of birds visiting the haors are ensnared every day and sold to locals in surrounding areas.To attract the birds, the poachers tie down a live wild bird beside a trap in a bush in the haor area and place a digital device that continuously plays previously recorded audio of migratory birds chirping while they wait after nightfall.By midnight, a good number of the birds are trapped and later taken away by the poachers, Sadek explained.     Abdul Karim Kim, general secretary of Bangladesh Poribesh Andolon's Sylhet chapter, said various species of migratory birds or wild birds from different parts of the world start arriving at the haor around winter.The number of birds in and around Hakaluki Haor has been waning in recent times, as an increased number of poachers have been using pesticide-soaked paddy to poison the birds, while many others have been catching them with traps, he added.A joint bird census -- conducted on February 24 and 25 in 43 beels of the haor -- by International Union for Conservation of Nature and Bangladesh Bird Club counted 24,551 birds belonging to 48 species.In 2020, the bird count was nearly double -- 40,126 birds belonging to 53 species.The nature and biodiversity in the haor area are under serious threat, as hunting and selling of migratory birds have been going on unabated there, primarily due to people's ignorance and greed, acknowledged Rezaul Karim Chowdhury, divisional forest officer of Wildlife Management and Nature Conservation Division in Sylhet.Illegal wildlife trade amounts to about Tk 10 crore annually in Bangladesh, forcing many of the country's wild animals and birds to go extinct, he also said.   ",environment
65,"India will provide 20 percent more electricity to Bangladesh under a renewed bilateral contract -- for five more years, officials said today.Tripura State Electricity Corporation Limited (TSECL) will supply 192MW power to Bangladesh, up from 160MW it supplied earlier, as per the renewed agreement, reports our New Delhi correspondent.India and Bangladesh had signed an agreement on January 11, 2010 for power trading at a mutually agreed price. The agreement had expired on March 16, 2021, the officials said.TSECL Managing Director MS Kele and NTPC Vidyut Vyapar Nigam Ltd CEO Praveen Saxena represented India and signed the renewal agreement in Dhaka on December 2.Bangladesh was represented by its Power Secretary and Director of Bangladesh Power Development Board (BPDB).The new agreement came into effect from March 17, 2021 and would be in force till March 16, 2026, according to the officials.The modified terms and conditions of the agreement were finalised after four meetings between the stakeholders, they said.",environment
66,"Six power distribution companies have so far filed a total of 21,838 cases against customers for non-payment of outstanding electricity bills while the total arrears against these cases is Tk 594.16 crore.This information was given by the power department at a meeting of the parliamentary standing committee on ministry of power, energy, and mineral resources today.Earlier in January, the power department had informed the parliamentary watchdog that the power department owes Tk 8,556.63 crore to consumers across the country.According to the working paper of the meeting, most of the cases have been filed by Bangladesh Rural Electrification Board.The number of ongoing cases is 9,845 and the amount of arrears against these cases is Tk 52.27 crore.There are 4,466 cases filed by Power Development Board. Their debt is Tk 58.27 crore.There are 3,538 cases filed by Dhaka Power Distribution Company Limited (DPDC). The company has filed these cases for recovery of arrears of Tk 184.73 crore.The number of cases filed by Dhaka Electric Supply Company Limited (DESCO) is 14. In these cases, they owe about Tk 140 crore.Northern Electricity Supply Company Limited (Nesco) has filed 3,998 cases. Against these cases, they owe about Tk 44 crore.There are 46 cases filed by West Zone Power Distribution Company Limited. In these cases, they owe about Tk 115 crore.State Minister for Power Nasrul Hamid and committee members -- Abu Zahir, SM Jaglul Hayder, Aslam Hossain Saudagar, Khaleda Khanam and Nargis Rahman -- took part in the meeting chaired by ruling Awami League MP Waseqa Ayesha Khan.",environment
67,"Smoke from cooking stoves that burn coal, wood, dung, and crop residues caused the deaths of almost 18,000 people in Bangladesh in 2017, according to a global study. The World Health Organisation says combustion from stoves contributes to heart disease, stroke, lung cancer and respiratory infections.In 2017, 63,718 deaths were due to ambient (outdoor) PM2.5 in Bangladesh, where residential fuel use is the single largest source for PM2.5, said the study.It said residential fuel contributed to 28.2 percent of the ambient air pollution, followed by energy with 12.4 percent.In Bangladesh, such stoves have long posed a serious danger to women, who usually shoulder the burden of cooking, according to the Health Effects Institute (HEI) study styled ""Global Burden of Disease-Major Air Pollution Sources."" The study report is scheduled to be released today.Earlier, the HEI's State of Global Air survey said particulate matter (PM) 2.5 is the sixth highest risk factor for deaths globally, accounting for nearly four million deaths in 2019.The burning of solid biofuels, such as wood for indoor heating and cooking, is a major source of PM 2.5, accounting for an additional 740,000 deaths, especially across South Asia and Sub-Saharan Africa, the study said.The study also finds that 770,000 deaths could have been prevented if people stop using solid fossil fuels like coal.It said fossil fuel combustion, a major source of air pollution, contributed to more than one million deaths globally in 2017, more than 27 percent of all deaths from outdoor PM 2.5.The report also said coal combustion alone was responsible for half of those deaths, with natural gas and oil combustion accounting for the other half.The study team, led by Erin McDuffie and Randall Martin of Washington University in St Louis, USA, and Michael Brauer at the University of British Columbia in Canada, provide the first-ever comprehensive global analysis estimating major sources of air pollution for every country in the world.The new report noted that major sources of PM 2.5 can vary by country and region, and different parts of the world were impacted by air pollution in different ways.While fossil fuel combustion made up most of the PM 2.5 across the industrialised nations of the global north, windblown dust was a major source of PM 2.5 in African countries.Dr Pallavi Pant, senior scientist of HEI, said, ""To improve air quality across South Asia, it is important to consider the major sectors that are contributing to PM2.5 including energy production, residential cooking and heating, industries, transportation, waste etc., and design targeted measures to reduce emissions at source.""Abdus Salam, an air quality expert and a professor of the Department of Chemistry at Dhaka University, said cooking is one of the key concerns of indoor air pollution especially in rural areas as biomass is used widely.""But coal is not largely used in cooking in Bangladesh,"" he said, adding that cooking behaviour should be changed to improve the situation.He also said dust was another important PM 2.5 contributor that originated from construction activities, streets, as well as windblown particles.The HEI is an independent, non-profit research institute funded jointly by the U.S. Environmental Protection Agency, industry, foundations, and development banks to provide credible, high-quality science on air pollution and health for air quality decisions.",environment
68,"Horns are a major cause of hearing loss among Dhaka residents. Despite the ban on hydraulic horns, noise pollution couldn't be curbed as laws remain ineffective. Speakers at a roundtable yesterday raised the issue and stressed on effective measures from law enforcers as well as public awareness.Bangla daily Prothom Alo and Uber Bangladesh jointly organised the discussion at the Bangla daily's office in the capital.Among others, Syed Nurul Islam, joint commissioner (traffic-south) of DMP; Fahmida Khatun, executive director of CPD; Syeda Rizwana Hasan, chief executive of Bela; Prof Syed Abdul Hamid of DU's institute of health economics at DU; Kamal UA Chowdhury, chairman of DU's clinical psychology department; Ahmad Kamruzzaman Majumder, founder director of Center for Atmospheric Pollution Studies; Dr Md Shahid Uz Zaman, founder and executive director of ESDO, and Armanur Rahman, country head, Uber Bangladesh, were present at the event. Abdul Qayyum, associate editor of Prothom Alo, gave the opening speech at the event, moderated by Firoz Choudhury, assistant editor of the newspaper.",environment
69,"Delhi shut down schools until further notice, urged people to work from home and banned non-essential trucks from entering the Indian capital due to dangerous levels of air pollution.One of the world's most polluted cities and home to some 20 million people, Delhi is cloaked every winter in a thick blanket of smog.On Saturday, the Delhi government had ordered schools to close for a week and banned construction work for four days.But in an order passed late Tuesday, the Commission for Air Quality Management for Delhi said all education institutions should remain shut until further notice.Lorries except those carrying essential goods are barred from entering the capital until November 21 and most construction activity was halted, the order said.""Anti-smog guns"" and water sprinklers were ordered to operate at hotspots at least three times a day.Six of the 11 thermal power plants within a 300-kilometre radius were told to cease operations until further notice.The commission also said that at least 50 percent of staff employed in government should work from home and encouraged those in private firms to follow suit.The order comes days after the Delhi government pushed back against a call by India's Supreme Court to declare a ""pollution lockdown"" -- a first -- which would restrict the city's population to their homes.One of the contributors to the air pollution in winter is the smoke from farmers burning their crop residue in neighbouring states.The government, however, told the Supreme Court that industry was the biggest contributor followed by vehicular pollution and dust.This week, PM 2.5 levels -- the most harmful particulate matter that is responsible for chronic lung and heart disease -- have been over 400 in several parts of the city.Last week, the levels touched 500 which is more than 30 times the maximum limit recommended by the World Health Organization.A Lancet report in 2020 said almost 17,500 people died in Delhi in 2019 because of air pollution.And a report by Swiss organisation IQAir last year found that 22 of the world's 30 most polluted cities were in India.  ",environment
70,"The morning after Diwali, the Hindu festival of lights, residents of New Delhi woke up under a blanket of toxic smog and breathed in the most dangerously polluted air of the year so far, after revellers, as usual, defied a fireworks ban.New Delhi has the worst air quality of all world capitals, but even by its sorry standards Friday's reading was extra bad, as people paid the price for celebrating India's biggest festival in the noisiest, and most smoky way.The Air Quality Index (AQI) surged to 451 on a scale of 500 - the maximum recorded this year - indicating ""severe"" conditions that affect healthy people and seriously impacts those with existing diseases, according to the federal pollution control board's guidance.The AQI measures the concentration of poisonous particulate matter PM2.5 in a cubic metre of air. In Delhi, a city of nearly 20 million people, the PM2.5 reading on Friday averaged 706 micrograms, whereas the World Health Organization deems anything above an annual average of 5 micrograms as unsafe.Airborne PM2.5 can cause cardiovascular and respiratory diseases such as lung cancer. And, in India, toxic air kills more than a million people annually.""The firecracker ban didn't seem to be successful in Delhi, which led to hazardous pollution levels adding on top of existing perennial sources,"" Sunil Dahiya, Analyst, Centre for Research on Energy and Clean Air (CREA) said.Every year, either government authorities or India's Supreme Court impose a ban on firecrackers. But the bans rarely appear to be enforced.Making matters worse, Diwali falls in period when farmers in the Delhi's neighbouring states of Punjab and Haryana burn the stubble left after harvesting to prepare their fields for the next crop.Stubble fires accounted for up to 35% of New Delhi's PM2.5 levels, according to data from SAFAR's monitoring system, which falls under the federal Ministry of Earth SciencesA rare spell of clear skies in October due to intermittent rains and winds had helped Delhiites breathe their cleanest air in at least four years.But during winter months pollution levels surge in northern India, as lower temperatures and a drop in wind speed tend to trap pollutants in the air longer.Sick of the lack of commitment to making the capital more livable, Ambrish Mithal, a doctor at the Max HealthCare hospital in New Delhi, vented his frustration over the deteriorating AQI readings.""It's terrible for those with allergies and asthma. We will continue to squabble over reasons and are doomed to suffer,"" he wrote in a post on Twitter.Indian governments are often accused of not doing enough to curb pollution, as they prioritise economic growth to lift living standards in the world's second-most populated country.On Monday, Prime Minister Narendra Modi told the COP26 climate summit in Glasgow that India would achieve net zero carbon emissions by 2070, but some experts reckoned that target was at least two decades too late.",environment
71,"Dhaka was ranked second in the list of cities with the worst air quality. The city's air quality index (AQI) was recorded at 159 around 9:15am yesterday, which is considered ""unhealthy"".Kolkata and Mumbai, cities in neighbouring India, occupied the first and third spots, respectively, with an AQI of 193 and 158.AQI between 100 and 200 is considered ""unhealthy for sensitive groups"". Similarly, 201 to 300 is said to be ""poor"", while 301 to 400 is considered ""hazardous"", posing serious health risks to residents.Dhaka has long been grappling with air pollution issues. Generally, Dhaka's air starts getting fresher when monsoon rains begin in mid-June. The air remains mostly acceptable from June to October.According to experts, authorities need to chalk out a special action plan to control Dhaka's terrible dust pollution, as it turns worse every winter, particularly from November to February, posing a serious health hazard to city dwellers.During winter, the city's air quality starts deteriorating sharply due to massive discharge of pollutant particles from construction sites, rundown roads, brick kilns and other sources, they say.Ainun Nishat, professor emeritus at Brac University, said dust particles from construction sites, earth filling, black smoke from overloaded motor vehicles and traditional brick kilns located on the outskirts of Dhaka are largely responsible for making the city's air quality worse in winter.""So, all traditional brick kilns should be modernised as soon as possible,"" he said.",environment
