content,domain
"The unexpected tide of the Sakbaria river, due to depression in the Bay, has inundated two villages in Khulna's Koyra upazila. As a result, around 200 families in the villages of Gatirgheri and Hariharpur are waterlogged.Locals have complained that due to the negligence of the contractor, the embankment at Hariharpur village in Uttar Bedkashi union has been breached and water has entered the locality, reports our local correspondent.Uttar Bedkashi Union council Chairman, Sardar Nurul Islam, told The Daily Star, ""The dam broke due to negligence of the contractor. The Water Development Board had signed a deal with a contractor to build a new dam at the site, but the contractor failed to construct it in time.""The tidal waters in the Sakbaria river rose due to cyclone Jawad on Saturday (December 4) night, breaking the dam and flooding two villages, said Gautam Das, a local resident.Mashiul Abedin, deputy assistant engineer of Satkhira Water Development Board-2, said that due to inclement weather, the water level in the Sakbaria River has risen by four to five feet in the last three to four days. As a result of the water pressure, the embankment on the east side of Hariharpur launch ghat has been broken. Contractors have been hired, and they are currently trying to repair the dam.",environment
"More than 1,000 tourists remain stranded in St Martin's island due to rough weather caused by Cyclone Jawad in the Bay of Bengal.The authorities have suspended movement of passenger vessels between Teknaf and St Martin's for two days, beginning from today.Pervez Chowdhury, Teknaf Upazila Nirbahi Officer (UNO) confirmed the development.Due to bad weather, local administration suspended the movement of all types of vessels by hoisting cautionary signal 3.The suspension will continue till the weather improves, the UNO said.St Martin's union parishad chairman Nur Ahmed, said the tourists got stranded due to the suspension of the trawler movement. ""They have to wait until further notice"".",environment
"An endangered vulture was rescued from a paddy field in the Kabirajpara area of ​​Sonakata union in Barguna's Taltali upazila yesterday.The vulture was unable to fly due to weakness. It was later rescued by the forest department with the help of villagers, reports our Patuakhali correspondent quoting Monirul Islam, a forest department official.The vulture was very weak when it was rescued said Mahmudul Hasan, a local resident. ""It couldn't stand up straight"".""It (the vulture) came to the area in search of food,"" said Monirul.""Further measures would be taken following its recovery from illness and consultation with higher authorities,"" he added.Environmentalists have long regarded vultures as a ""cleaner"" of the environment, said the forest official.Vultures help to keep the environment in balance by eating the flesh of dead animals. People are protected from at least 40 diseases by this bird.Vultures have decreased in number, while the rate of germ transmission has increased.",environment
"Citing the constitution that makes it mandatory to protect forest, environment and wildlife, Environment Minister Md Shahab Uddin today said they were not able to conserve wildlife.He came up with the comment at a time when eight elephants were killed last month across Chattogram and Sherpur, mostly by electrocution and shooting by forest grabbers.The minister was addressing a programme titled -- National Result Sharing and Consultation Workshop -- as chief guest, organised by International Union for Conservation of Nature (IUCN) at Bangabadhu International Conference Centre in Dhaka.The conference was organised as part of IUCN project ""Feasibility Study of Transboundary Wildlife Corridor in CHT, Chattogram and Cox's Bazar with Myanmar and India Project"".Forest Minister Shahab Uddin said according to the constitution's section-18 (kha), the state will conserve its environment, forest and wildlife for present and future generation of the country.""The wildlife is supposed to be in forest. But when forest goes under the clutch of human being, how the wildlife will survive there,"" he said.He urged other agencies of government to join hand to protect the forest as forest department alone won't be able to do it.Habibun Nahar, deputy minister of the ministry, said, ""there is a law in place. But we all know how much of the law is executed on the ground.Md Mostafa Kamal, secretary of the ministry, vowed not to let the giant mammal disappear from Bangladesh territory. ""We request IUCN to give us specific data on elephant corridors. We will acquire land for safe movement of elephants if necessary,"" he said.Monirul H Khan, professor of Zoology at Jahangirnagar University, presented the keynote on the transboundary corridors of elephant while Raquibul Amin presented the overview of the project.",environment
"On a November afternoon several weeks back, a middle-aged man, appearing to be a fish vendor, was spotted in Kaminiganj Bazar area of Moulvibazar's Juri upazila.But after peeking through the net covering of the bamboo basket he was carrying, over a dozen of live migratory birds were found inside, said Saddam Mia, a resident of the area, which is in close proximity to Hakaluki Haor -- one of the country's largest marsh wetlands and an Ecologically Critical Area.Hakaluki Haor is spread out across Juri, Kulaura and Barlekha upazilas of Moulvibazar, and Golapganj and Fenchuganj upazilas of Sylhet.Poaching and illegal trade of migratory birds have been on the rise in areas that surround large waterbodies such as Hakaluki Haor, as both poachers and sellers are increasingly adopting innovative and deceptive techniques to catch and sell the birds.This correspondent came across one such illegal bird seller recently in Kaminiganj Bazar, near the BGB camp. In his basket, there were 12 brownish migratory birds with long and sharp beaks, resembling common snipes. Asked, he said he bought them from hunters who caught the birds by setting traps near the haor. He said he had already sold 13 that day. The seller left the spot hastily when this correspondent started taking snaps of the birds.Several poachers as well as locals, requesting anonymity, said migratory birds are quite popular among villagers, and each bird sells between Tk 300 and 500, depending on size.Bird trader Sadek Mia said a huge number of birds visiting the haors are ensnared every day and sold to locals in surrounding areas.To attract the birds, the poachers tie down a live wild bird beside a trap in a bush in the haor area and place a digital device that continuously plays previously recorded audio of migratory birds chirping while they wait after nightfall.By midnight, a good number of the birds are trapped and later taken away by the poachers, Sadek explained.     Abdul Karim Kim, general secretary of Bangladesh Poribesh Andolon's Sylhet chapter, said various species of migratory birds or wild birds from different parts of the world start arriving at the haor around winter.The number of birds in and around Hakaluki Haor has been waning in recent times, as an increased number of poachers have been using pesticide-soaked paddy to poison the birds, while many others have been catching them with traps, he added.A joint bird census -- conducted on February 24 and 25 in 43 beels of the haor -- by International Union for Conservation of Nature and Bangladesh Bird Club counted 24,551 birds belonging to 48 species.In 2020, the bird count was nearly double -- 40,126 birds belonging to 53 species.The nature and biodiversity in the haor area are under serious threat, as hunting and selling of migratory birds have been going on unabated there, primarily due to people's ignorance and greed, acknowledged Rezaul Karim Chowdhury, divisional forest officer of Wildlife Management and Nature Conservation Division in Sylhet.Illegal wildlife trade amounts to about Tk 10 crore annually in Bangladesh, forcing many of the country's wild animals and birds to go extinct, he also said.   ",environment
"India will provide 20 percent more electricity to Bangladesh under a renewed bilateral contract -- for five more years, officials said today.Tripura State Electricity Corporation Limited (TSECL) will supply 192MW power to Bangladesh, up from 160MW it supplied earlier, as per the renewed agreement, reports our New Delhi correspondent.India and Bangladesh had signed an agreement on January 11, 2010 for power trading at a mutually agreed price. The agreement had expired on March 16, 2021, the officials said.TSECL Managing Director MS Kele and NTPC Vidyut Vyapar Nigam Ltd CEO Praveen Saxena represented India and signed the renewal agreement in Dhaka on December 2.Bangladesh was represented by its Power Secretary and Director of Bangladesh Power Development Board (BPDB).The new agreement came into effect from March 17, 2021 and would be in force till March 16, 2026, according to the officials.The modified terms and conditions of the agreement were finalised after four meetings between the stakeholders, they said.",environment
"Six power distribution companies have so far filed a total of 21,838 cases against customers for non-payment of outstanding electricity bills while the total arrears against these cases is Tk 594.16 crore.This information was given by the power department at a meeting of the parliamentary standing committee on ministry of power, energy, and mineral resources today.Earlier in January, the power department had informed the parliamentary watchdog that the power department owes Tk 8,556.63 crore to consumers across the country.According to the working paper of the meeting, most of the cases have been filed by Bangladesh Rural Electrification Board.The number of ongoing cases is 9,845 and the amount of arrears against these cases is Tk 52.27 crore.There are 4,466 cases filed by Power Development Board. Their debt is Tk 58.27 crore.There are 3,538 cases filed by Dhaka Power Distribution Company Limited (DPDC). The company has filed these cases for recovery of arrears of Tk 184.73 crore.The number of cases filed by Dhaka Electric Supply Company Limited (DESCO) is 14. In these cases, they owe about Tk 140 crore.Northern Electricity Supply Company Limited (Nesco) has filed 3,998 cases. Against these cases, they owe about Tk 44 crore.There are 46 cases filed by West Zone Power Distribution Company Limited. In these cases, they owe about Tk 115 crore.State Minister for Power Nasrul Hamid and committee members -- Abu Zahir, SM Jaglul Hayder, Aslam Hossain Saudagar, Khaleda Khanam and Nargis Rahman -- took part in the meeting chaired by ruling Awami League MP Waseqa Ayesha Khan.",environment
"Smoke from cooking stoves that burn coal, wood, dung, and crop residues caused the deaths of almost 18,000 people in Bangladesh in 2017, according to a global study. The World Health Organisation says combustion from stoves contributes to heart disease, stroke, lung cancer and respiratory infections.In 2017, 63,718 deaths were due to ambient (outdoor) PM2.5 in Bangladesh, where residential fuel use is the single largest source for PM2.5, said the study.It said residential fuel contributed to 28.2 percent of the ambient air pollution, followed by energy with 12.4 percent.In Bangladesh, such stoves have long posed a serious danger to women, who usually shoulder the burden of cooking, according to the Health Effects Institute (HEI) study styled ""Global Burden of Disease-Major Air Pollution Sources."" The study report is scheduled to be released today.Earlier, the HEI's State of Global Air survey said particulate matter (PM) 2.5 is the sixth highest risk factor for deaths globally, accounting for nearly four million deaths in 2019.The burning of solid biofuels, such as wood for indoor heating and cooking, is a major source of PM 2.5, accounting for an additional 740,000 deaths, especially across South Asia and Sub-Saharan Africa, the study said.The study also finds that 770,000 deaths could have been prevented if people stop using solid fossil fuels like coal.It said fossil fuel combustion, a major source of air pollution, contributed to more than one million deaths globally in 2017, more than 27 percent of all deaths from outdoor PM 2.5.The report also said coal combustion alone was responsible for half of those deaths, with natural gas and oil combustion accounting for the other half.The study team, led by Erin McDuffie and Randall Martin of Washington University in St Louis, USA, and Michael Brauer at the University of British Columbia in Canada, provide the first-ever comprehensive global analysis estimating major sources of air pollution for every country in the world.The new report noted that major sources of PM 2.5 can vary by country and region, and different parts of the world were impacted by air pollution in different ways.While fossil fuel combustion made up most of the PM 2.5 across the industrialised nations of the global north, windblown dust was a major source of PM 2.5 in African countries.Dr Pallavi Pant, senior scientist of HEI, said, ""To improve air quality across South Asia, it is important to consider the major sectors that are contributing to PM2.5 including energy production, residential cooking and heating, industries, transportation, waste etc., and design targeted measures to reduce emissions at source.""Abdus Salam, an air quality expert and a professor of the Department of Chemistry at Dhaka University, said cooking is one of the key concerns of indoor air pollution especially in rural areas as biomass is used widely.""But coal is not largely used in cooking in Bangladesh,"" he said, adding that cooking behaviour should be changed to improve the situation.He also said dust was another important PM 2.5 contributor that originated from construction activities, streets, as well as windblown particles.The HEI is an independent, non-profit research institute funded jointly by the U.S. Environmental Protection Agency, industry, foundations, and development banks to provide credible, high-quality science on air pollution and health for air quality decisions.",environment
"Horns are a major cause of hearing loss among Dhaka residents. Despite the ban on hydraulic horns, noise pollution couldn't be curbed as laws remain ineffective. Speakers at a roundtable yesterday raised the issue and stressed on effective measures from law enforcers as well as public awareness.Bangla daily Prothom Alo and Uber Bangladesh jointly organised the discussion at the Bangla daily's office in the capital.Among others, Syed Nurul Islam, joint commissioner (traffic-south) of DMP; Fahmida Khatun, executive director of CPD; Syeda Rizwana Hasan, chief executive of Bela; Prof Syed Abdul Hamid of DU's institute of health economics at DU; Kamal UA Chowdhury, chairman of DU's clinical psychology department; Ahmad Kamruzzaman Majumder, founder director of Center for Atmospheric Pollution Studies; Dr Md Shahid Uz Zaman, founder and executive director of ESDO, and Armanur Rahman, country head, Uber Bangladesh, were present at the event. Abdul Qayyum, associate editor of Prothom Alo, gave the opening speech at the event, moderated by Firoz Choudhury, assistant editor of the newspaper.",environment
"Delhi shut down schools until further notice, urged people to work from home and banned non-essential trucks from entering the Indian capital due to dangerous levels of air pollution.One of the world's most polluted cities and home to some 20 million people, Delhi is cloaked every winter in a thick blanket of smog.On Saturday, the Delhi government had ordered schools to close for a week and banned construction work for four days.But in an order passed late Tuesday, the Commission for Air Quality Management for Delhi said all education institutions should remain shut until further notice.Lorries except those carrying essential goods are barred from entering the capital until November 21 and most construction activity was halted, the order said.""Anti-smog guns"" and water sprinklers were ordered to operate at hotspots at least three times a day.Six of the 11 thermal power plants within a 300-kilometre radius were told to cease operations until further notice.The commission also said that at least 50 percent of staff employed in government should work from home and encouraged those in private firms to follow suit.The order comes days after the Delhi government pushed back against a call by India's Supreme Court to declare a ""pollution lockdown"" -- a first -- which would restrict the city's population to their homes.One of the contributors to the air pollution in winter is the smoke from farmers burning their crop residue in neighbouring states.The government, however, told the Supreme Court that industry was the biggest contributor followed by vehicular pollution and dust.This week, PM 2.5 levels -- the most harmful particulate matter that is responsible for chronic lung and heart disease -- have been over 400 in several parts of the city.Last week, the levels touched 500 which is more than 30 times the maximum limit recommended by the World Health Organization.A Lancet report in 2020 said almost 17,500 people died in Delhi in 2019 because of air pollution.And a report by Swiss organisation IQAir last year found that 22 of the world's 30 most polluted cities were in India.  ",environment
"The morning after Diwali, the Hindu festival of lights, residents of New Delhi woke up under a blanket of toxic smog and breathed in the most dangerously polluted air of the year so far, after revellers, as usual, defied a fireworks ban.New Delhi has the worst air quality of all world capitals, but even by its sorry standards Friday's reading was extra bad, as people paid the price for celebrating India's biggest festival in the noisiest, and most smoky way.The Air Quality Index (AQI) surged to 451 on a scale of 500 - the maximum recorded this year - indicating ""severe"" conditions that affect healthy people and seriously impacts those with existing diseases, according to the federal pollution control board's guidance.The AQI measures the concentration of poisonous particulate matter PM2.5 in a cubic metre of air. In Delhi, a city of nearly 20 million people, the PM2.5 reading on Friday averaged 706 micrograms, whereas the World Health Organization deems anything above an annual average of 5 micrograms as unsafe.Airborne PM2.5 can cause cardiovascular and respiratory diseases such as lung cancer. And, in India, toxic air kills more than a million people annually.""The firecracker ban didn't seem to be successful in Delhi, which led to hazardous pollution levels adding on top of existing perennial sources,"" Sunil Dahiya, Analyst, Centre for Research on Energy and Clean Air (CREA) said.Every year, either government authorities or India's Supreme Court impose a ban on firecrackers. But the bans rarely appear to be enforced.Making matters worse, Diwali falls in period when farmers in the Delhi's neighbouring states of Punjab and Haryana burn the stubble left after harvesting to prepare their fields for the next crop.Stubble fires accounted for up to 35% of New Delhi's PM2.5 levels, according to data from SAFAR's monitoring system, which falls under the federal Ministry of Earth SciencesA rare spell of clear skies in October due to intermittent rains and winds had helped Delhiites breathe their cleanest air in at least four years.But during winter months pollution levels surge in northern India, as lower temperatures and a drop in wind speed tend to trap pollutants in the air longer.Sick of the lack of commitment to making the capital more livable, Ambrish Mithal, a doctor at the Max HealthCare hospital in New Delhi, vented his frustration over the deteriorating AQI readings.""It's terrible for those with allergies and asthma. We will continue to squabble over reasons and are doomed to suffer,"" he wrote in a post on Twitter.Indian governments are often accused of not doing enough to curb pollution, as they prioritise economic growth to lift living standards in the world's second-most populated country.On Monday, Prime Minister Narendra Modi told the COP26 climate summit in Glasgow that India would achieve net zero carbon emissions by 2070, but some experts reckoned that target was at least two decades too late.",environment
"Dhaka was ranked second in the list of cities with the worst air quality. The city's air quality index (AQI) was recorded at 159 around 9:15am yesterday, which is considered ""unhealthy"".Kolkata and Mumbai, cities in neighbouring India, occupied the first and third spots, respectively, with an AQI of 193 and 158.AQI between 100 and 200 is considered ""unhealthy for sensitive groups"". Similarly, 201 to 300 is said to be ""poor"", while 301 to 400 is considered ""hazardous"", posing serious health risks to residents.Dhaka has long been grappling with air pollution issues. Generally, Dhaka's air starts getting fresher when monsoon rains begin in mid-June. The air remains mostly acceptable from June to October.According to experts, authorities need to chalk out a special action plan to control Dhaka's terrible dust pollution, as it turns worse every winter, particularly from November to February, posing a serious health hazard to city dwellers.During winter, the city's air quality starts deteriorating sharply due to massive discharge of pollutant particles from construction sites, rundown roads, brick kilns and other sources, they say.Ainun Nishat, professor emeritus at Brac University, said dust particles from construction sites, earth filling, black smoke from overloaded motor vehicles and traditional brick kilns located on the outskirts of Dhaka are largely responsible for making the city's air quality worse in winter.""So, all traditional brick kilns should be modernised as soon as possible,"" he said.",environment
"Eminent actress Afsana Mimi was a popular face of television drama, in the 90s. Her acting in numerous dramas received a lot of appreciation and love, so did her works as television director. After a long time, she is all set to make a comeback with her film this year. In a recent chat with The Daily Star, she talked about her upcoming project.We wish you a very happy birthday. How are you spending this special day?I prefer spending my birthdays all by myself. I really like it when my birthday comes since I get to see the amount of love people have for me. This is the thing that makes me happy. Currently, I am very far from Dhaka city. I am in my maternal grandparent's house which is located at Bagerhat, I have come here after a very long time. After about 10 years, I got so close to all my relatives. Considering how busy everyone's lives has become these days, we rarely get the chance to gather together. It is an amazing feeling, and I am having a good time. To be honest, when I came to Syed Mahalla, I became a little nostalgic. This place has so many bittersweet memories.It has been a long time since audience last saw you in any film.I am working in the film titled ""Paap Punno"", directed by Giasuddin Selim. I do not think I need to say anything about how amazing his work is. His film, ""Monpura"", did tremendously well. ""Paap Punno"" has a different storyline, and we did the shoot in Chandpur. I also got to work with many famous artistes. Now, the film is awaiting to be released, and I believe it will receive good responses from the audience. After ""Priotomeshu"", I am doing this project after 9 years. Is direction more difficult than acting?I feel that working as a director is a tough job. Because when I am working as an actress, my only job is to focus on being in the character I am playing. However, while working as a director, I have tons of things to think about. When and where I will place the camera, when the shoot will end, when the actors will arrive and many more things. A director has to take the responsibility of the whole unit, which makes the job a challenging one.",entertainment
"With ""Spider-Man: No Way Home"" now out in theatres, Disney and Sony are actively beginning to develop where the web-slinger's story goes next, according to Marvel Studios President Kevin Feige.His comments came in an interview with The New York Times, for which he sat down with former Sony exec and franchise producer Amy Pascal. ""Amy and I and Disney and Sony are talking about — yes, we're actively beginning to develop where the story heads next,"" said Feige, ""which I only say outright because I don't want fans to go through any separation trauma like what happened after 'Far From Home.' That will not be occurring this time.""Feige was alluding to a period between August and September of 2019, following the release of the Tom Holland-led sequel Spider-Man: Far From Home, which saw financial negotiations surrounding the future of the franchise break down between Disney and Sony. Had they not gotten back on track, Feige would have exited his involvement with the Spider-Man films, with Spider-Man himself exiting the Marvel Cinematic Universe (MCU).Pascal subsequently noted in the New York Times interview that there is plenty of more story to explore with Tom Holland's Spider-Man, given the way in which ""No Way Home"" closes out.""At the end of the movie we just made, you see Spider-Man make a momentous decision, one that you've never seen him make before,"" she notes. ""It's a sacrifice. And that gives us a lot to work with for the next film.""However, officially, Holland is not signed on to star in any more movies at this time, even if development on a fourth Spider-Man film following ""No Way Home""  is already in its early stages.In an interview with The Hollywood Reporter, Holland suggested that he might step behind the camera to produce the fourth film, with a new actor as Spider-Man. ""There have been conversations about the future of Spider-Man. Whether it will be with me, I'm not too sure yet. Maybe I'll be a producer or something, I don't know,"" he said.",entertainment
"Bollywood superstar Salman Khan announced his upcoming film, ""Bajrangi Bhaijaan 2"", recently. The sequel will be written by Indian filmmaker SS Rajamouli's father, K V Vijayendra Prasad, who also penned the original film.""Bajrangi Bhaijaan"" was directed by Kabir Khan. The story revolved around Hanuman devotee Pawan (Salman Khan), who meets a girl who accidentally enters India and hails from Pakistan. Pawan names the girl Munni. He decides to reunite Munni with her family, and that is how the entire story unfolds. Harshaali Malhotra's performance as Munni won over audiences across the world.The film also starred Kareena Kapoor Khan and Nawazuddin Siddiqui.",entertainment
"After garnering numerous international accolades, Abdullah Mohammad Saad directorial ""Rehana Maryam Noor"" had hit theatres countrywide on November 12.The Azmeri Haque Badhon starrer has reached commendable milestones, which includes being featured in the ""Un Certain Regard"" section of the 74th Cannes Film Festival.Presented by Nuvista Pharma, the film will now be exclusively released on popular OTT platform Chorki on December 30, at 8 pm.The news was announced at a press meet held today at Pan Pacific Sonargaon.Prominent filmmaker and Chief Operating Officer of Chorki, Redoan Rony along with Marketing, A G M of Nuvista Pharma Saleha Begum Neela, General Manager of Finance department, Transcom Limited Polash Ranjan Bhowmick and the artistes of ""Rehana Maryam Noor"" were present at the event.The film created a stir among the audiences with the director's unique way of storytelling. It has also been submitted to the 94th Academy Awards, as a selection from Bangladesh.  ",entertainment
"Renowned Bollywood actor Naseeruddin Shah is set to star in Bangladesh's ""Project Ommi"", an exciting sci-fi film directed by Amit Ashraf.  The movie is set in the year 2050. Its story follows a hacker and digital artist who creates a virtual A.I. child named Ommi, in order to defeat criminals of the darknet.Naseeruddin Shah will play the leader of a cult that is fighting robots replacing human workers.""Our casting director contacted Naseeruddin Shah's manager.  We sent him the script, and he really liked the character and plot of the movie. There are hardly any movies made in science fiction in the Indian subcontinent. He gave us his shooting schedules,"" mentions Amit Ashraf.The project is being jointly produced by Kazi House Productions and FOR Films in the United Kingdom. The Bangladeshi producer of the film is Himel Tariq while British Photographer Jenny Walker has joined the film.""We are doing futuristic gadgets and costumes, as we really want the props to be unique. We have transformed our studio into a Hollywood-standard prop-making workshop complete with 3D printers, laser-cutters, VR previsulations, and vacuum-form machines. The production team is creating a functional robot suit, inspired by Netflix's 'I Am Mother',"" added the director.Currently, they have finalised one local cast, Shaan Rahman, and are in the process of recruiting both local stars and Hollywood actors.The project is currently casting for child and adult roles in Dhaka, speaking both in English and Bangla. Children from the age of 8-12 and adults of any age could apply for the post.To apply, visit www.kazihouseproductions.com ",entertainment
"There has been a sentiment amongst certain sections of people that superhero films, more specifically movies from the Marvel Cinematic Universe (MCU), are the ""death of cinema"". Many think pieces have been written around this concept. I think there is an inclination from a lot of people to turn their nose up at popular entertainment, and I would like to challenge them to go watch a screening of ""Spider-Man: No Way Home"". Watch the sheer joy this movie unfolds for an audience.Written by Chris Mckenna and Erik Sommers and directed by Jon Watts, ""No Way Home"" picks up right after Mysterio reveals Spider-Man's true identity. As Peter Parker deals with a world where people believe that they have the right to access everything that happens in the lives of famous personalities, all hell breaks loose. He does not know where to turn. With his aunt May, girlfriend MJ, and best friend Ned, he looks for ways to turn back time. Eventually, he requests Dr Strange to cast a memory wipe spell, which goes wrong. As a result, Peter starts getting visitors from other universes.Now, coming back to my timeline, Tobey Maguire's Spider-Man trilogy was my introduction to live-action superhero movies. It showed me that superheroes can be characters with genuine moral conflicts, love, and loss in their lives. Young love was treated with empathy and depth — the upside-down kiss between Peter and MJ, Peter seeing her singing ""I Am Through With Love"" at a jazz club when no one clearly understood how truly special she was, his heartbreak when she starts dating his best friend Harry — these were not just plot points for the makers to pivot the characters onto another timeline, or a crossover of some sort. They had me engrossed in the narrative.The Andrew Garfield era of Spider-Man, however, never quite sat right with me. While Garfield did an amazing job, I wish he got better scripts.Tom Holland's Spider-Man has always been an apprentice. He was very much a kid, who had extraordinary abilities but never really experienced actual conflict and pain, which make superheroes become who they are. With ""No Way Home"", this changes.From the introduction sequence itself, we see an existential crisis beginning to hit Peter. He is now truly coming of age. Although he is still a teenager, and has not yet become disillusioned, he is no longer willing to take instructions from people who are higher up in authority than him or older in age, just because he is told to.""No Way Home"" takes a stab at what it means to be a ""superhero"" — a larger than life figure with great power, and the sacrifices one has to make to keep that power. It is not just a thrilling and emotional end to Peter's high school trilogy in the MCU, but also a smart, fun, and an exciting celebration of everything there is to love about Spider-Man.This is a film that made people laugh, cry, and cheer. After the movie was over, I walked out of the hall to see crowds of people talking excitedly about what they had just seen. There wasn't one person who did not have a smile on their face. At the end of the day, isn't that what you want as a moviegoer?""Spider-Man: No Way Home"" is now playing in theatres. If you decide to go, stay safe, and don't forget to wear a mask.",entertainment
"The biopic on the Father of the Nation, Bangabandhu Sheikh Mujibur Rahman has completed shooting in Dhaka.A scene from the Shyam Benegal directorial has been leaked online, where actor Arifin Shuvoo's portrayal of Bangabandhu's historic 7th March speech is being shot.The film, which will release on 2022 on the occasion Bangabandhu's birth anniversary, features Nusraat Faria, Fazlur Rahman Babu, Nusrat Imrose Tisha, Chanchal Chowdhury, Dighi, Tauquir Ahmed, Riaz and Tushar Khan, among others.",entertainment
"Talented actress Quazi Nawshaba Ahmed has appeared in a television commercial after seven years collaborating, with cricket superstar Shakib Al Hasan. Subrina Irene has directed the project.Nawshaba shared that she is extremely overwhelmed to have worked with Shakib in this project, as this is her 'comeback' commercial.""My father, retired Lieutenant Cornel Quazi Salimuddin Md Shahriar left us on December 9,"" shares the actress. ""I wanted to surprise him with this project, as Shakib Al Hasan was one of the few celebrities he only loved. It was not so easy for me. However, my father always taught me to stay strong and that the show must go on!""The production is expected to air next month.Nawshaba's upcoming projects are Anonno Mamun's film ""Omanush"", Saikat Nasir's web series ""Network"" and Saif Chandan directorial film ""Poster"", among others.",entertainment
"Pori Moni has signed Chayanika Chowdhury's debut web film ""Kagojer Bou"", replacing Mahiya Mahi.Mahi was supposed to begin shooting for the project from Friday. However, the actor posted on her social media, due to her unwell physical condition, she will not be able to complete the production.The actress went to Umrah after her marriage and had signed the film before she left for Saudi Arabia.""Pori Moni has saved me,"" said the ""Bishwoshundori"" director. ""She came to the shoot after returning from the hospital, and I will always be grateful to her.""""Kagojer Bou"" also stars D A Tayeb and Mamnun Hasan Emon.",entertainment
"Famous Bollywood actress Priyanka Chopra Jonas has lashed out at a news article calling her 'wife of Nick Jonas' who is currently busy promoting her upcoming Hollywood film 'The Matrix Resurrections'. She asked for an explanation as to how this can still happen to women.Priyanka posted a few screenshots of the articles in her Instagram stories questioning if she should add her IMDb link to her bio.The article shared by Priyanka read: ""The wife of Nick Jonas shared…""It quoted her speaking on Good Morning America about her co-star Keanu Reeves.Priyanka said highlighting the same: ""Very interesting that I'm promoting one of the most iconic film franchises of all time, and I'm still referenced as 'the wife of…'.""Tagging her husband Nick Jonas, the actress added: ""Please explain how this still happens to women? Should I add my IMDb link to my bio?""The Matrix Resurrections' also features Carrie-Anne Moss, Neil Patrick Harris, Yahya Abdul-Mateen II, Jonathan Groff, among others. It is going to release in the theaters on December 22.",entertainment
"Model and actress Zahara Mitu became a prominent face in the industry after winning the crown in Miss Super Model Bangladesh 2017. She stars in ""Joy Bangla"", directed by Kazi Hayat, and is currently busy with a number of movies. In a short span of time, she has worked with renowned stars like Shakib Khan and West Bengal actor, Dev. In a recent interview with The Daily Star, the talented actress talked about her upcoming projects, and more.What can you tell us about your upcoming movie, 'Joy Bangla', which is being funded by the government?I am playing the role of Dola, opposite Bappy Chowdhury. The film is adapted from Muntasir Mamun's young adult novel, ""Joy Bangla"", under the direction of Kazi Hayat. The story is set in Dhaka during the 1960s and 70s. I read the novel in 2013 when it was available in book fairs, and really liked the plot. Now a film is being made on the same, and I am very happy to be working in it. Are there any upcoming projects you can tell us about?I will start shooting for ""Kutigir"" from December 22, and it will continue in Gazipur. The story of the film is based on rural life, and Shaheen Shumon is the director. I will be playing the role of a playful rural girl, opposite Bappy. I am also working with him on ""Jontrona"", directed by Apurba Rana.You are working with Shakib Khan in 'Agun'. What can you tell us about that film?I started working on ""Agun"" a while back.  Hopefully, the shoot will end soon.  Besides, I am working on the film, ""Commando"" with West Bengal actor Dev, as the male lead. The shooting is yet to finish.What are your expectations from working on movies? I used to host different shows earlier, including the likes of BPL. I have worked on tele-fictions as well. Then, I got movie offers, which I had never expected. But now, working on films is my top priority. I really want to impress the audience with my acting. To be honest, I fell in love with the camera while working on ""Commando"".Who is your most favourite heroine of the silver screen?There are many in my list of favourites, but I would like to mention Shabnur. I love her pairing with Riaz on screen. I have seen all their movies. Shabnur's acting makes me feel a lot of emotions, which is why she is my most favourite in the industry. ",entertainment
"Celebrated Hollywood stars Tom Holland and Zendaya are making rounds promoting their latest film, ""Spider-Man: No Way Home"", and repeatedly being asked to address the fact that Zendaya is taller than her male co-star.During a programme on US network SiriusXM, when the host asked the two artistes about their height difference during an onscreen kiss in ""Spider-Man: Far From Home"", Holland pointed out that Zendaya is not that much taller than him.""This is normal too. My mom is taller than my dad,"" added Zendaya.Holland further said that height differences between men and women, where the woman should be taller than the man is a ""stupid assumption"".Zendaya added that the kiss her character, MJ, shares with Holland's Spider-Man is a nice and sweet moment between them, and said how unnecessary it is to try to cheat the height difference onscreen.""Why not just let it be? Honestly, [I] never thought of it as a thing because my parents were always that way, so I didn't know that people cared,"" she said.",entertainment
"What Bhabna regrets, and what she hopes for Ashna Habib Bhabna, one of the most prominent actors of our time, is also an author, dancer and model. Her film, the Nurul Alam Atique directorial 'Laal Moroger Jhuti', is garnering positive responses from the audience.A regular face on television, the actress was last seen on the silver screen in ""Bhoyonkor Shundor"", opposite Parambrata Chatterjee. Bhabna is also vocal about women and artiste's rights.We chat with her in ""Star Entertainment News of the Week"", where she talks about her life, struggles and experience in the film.",entertainment
"Production of ""Rong Dhong"" starring Mosharraf Karim is under way in Pubail of Gazipur. The concept of the drama is by Ibne Hasan. It is directed by Sohail Hasan, and written by Yusuf Ali Khokon. We will see Mosharraf Karim as a rebel in the play.Today's Star Shooting Spot is about the TV serial ""Rong Dhong""",entertainment
"A 17-year-old girl named Ruby is the only person in her family who can hear or speak.The family of four start a fishing business. However, Ruby dreams of becoming a musician.The movie is a joint venture from USA, France and Canada It had a budget of $10 million and Apple TV bought the movie for $25million.Watch Nasmus Sakib's review of CODA at Star Movie Review.",entertainment
